分野,単語,英語,意味,
ストラテジ系,GUI,Graphical User Interface,現在のPCでは当たり前になっている、画面上にアイコンやメニューなどの操作対象や選択項目を表示し、それをマウスなどのポインティングデバイスによって操作することでコンピューターを操作する仕組み,
ストラテジ系,HEMS,Home Energy Management System,ヘムズ。ICTを活用して、住宅内のエネルギー使用状況の監視、機器の遠隔操作や自動制御などを可能にし、家庭におけるエネルギー管理を支援するソリューション,
ストラテジ系,HR,Human Resource,人事,
ストラテジ系,HRM,Human Resource Management,人的資源管理。社員のスキルや行動特性を把握し、人事戦略の視点から適切な品イン配置・評価などのマネジメントを行う,
ストラテジ系,HTML,HyperText Markup Language,インターネットのホームページにおける画像、音声、ビデオなどを含むページを表現できるページ記述言語である,
ストラテジ系,IDM,Integrated Device Manufacturer,垂直統合型デバイスメーカー。自社内で回路設計から製造まで全ての設備をもち、自社ブランド製品を販売する,
ストラテジ系,IEEE,Institute of Electrical and Electronics Engineers,"アイ・トリプル・イー。電気・電子技術に関する非営利の団体であり、主な活動内容としては、学会活動、書籍の発行、IEEE規格の標準化を行っている
LANや無線LAN等に関する標準化活動を推進している",
ストラテジ系,IETF,Internet Engineering Task Force,TCP/IP・HTTP・SMTPなどのようにインターネット上で開発される技術やプロトコルなどを標準化する組織。標準化が行われた規格はRFCとしてインターネット上に公開され、誰もが自由に閲覧できるようになっている,
ストラテジ系,IRR,Internal Rate of Return,内部収益率。投資により将来得られるキャッシュフローの現在価値と投資額の現在価値とが等しくなる割引率（内部収益率）を求め、投資により見込まれる内部収益率が本来得るべき利回りより大きいかどうかで投資の可否を判断する手法,
ストラテジ系,ISP,In-System Programming,ある種のPLDやマイクロコントローラやその他プログラム可能な電子部品において、事前にプログラムを書き込んでからシステムに組み込むのではなく、組み込み済みの状態でプログラムを書き込むことである。アップデートのしやすさ,
ストラテジ系,ISP,Internet Service Provider,"インターネットへの接続サービスを提供する
インターネット接続業者",
